платформа,точка,"R3F ref: кадр, мс","three.js: кадр, мс","R3F ref: GPU, мс","three.js: GPU, мс",R3F ref: GPU / кадр,three.js: GPU / кадр
AMD Ryzen 5 · Chrome,A,6.224999999860302,6.137499999953434,12.055,12.05716,1.9363341365896327,1.9708153408183218
AMD Ryzen 5 · Chrome,B,50.202499999897555,49.996249999967404,49.45196,49.16048,0.9854829298333134,0.9833045979609518
AMD Ryzen 5 · Chrome,C,31.8062500001397,31.330000000074506,26.56427,26.2271,0.8343609138449398,0.8376099432163187
AMD Ryzen 5 · Chrome,D,55.35249999957159,55.491249999497086,54.26668,54.20256,0.9802119752782135,0.9769420899566128
Apple M4 · Chrome,A,5.4224999994039536,5.399999998509884,8.073062,8.037458,1.4891600222086798,1.4889052596705388
Apple M4 · Chrome,B,18.092499993741512,18.21000000089407,21.094916249999997,21.0871145,1.1658460572926432,1.157996492364209
Apple M4 · Chrome,C,9.472500003874302,9.52250000089407,5.9328535,5.92771825,0.6263241681491052,0.6224174942442253
Apple M4 · Chrome,D,19.207500003278255,19.337499998509884,25.3025625,25.26573875,1.3198979702779485,1.3057427666996193
