impl,"код, КБ","gzip, КБ","brotli, КБ"
three.js,555.4755859375,140.318359375,115.3525390625
R3F,1100.3056640625,298.9267578125,231.484375
R3F / three.js,1.9808353272726953,2.130346728282505,2.006755784322855
