платформа,показатель,three.js,R3F ref,R3F ref-central,R3F state,R3F ref + parent-state
Apple M4 · Chrome,"FPS, среднее",207.82588623915902,206.04328075429288,222.86068657174525,73.42465698632527,206.75191836304995
Apple M4 · Chrome,"время кадра, медиана, мс",4.825000017881393,4.840000003576279,4.495000004768372,13.2049999833107,4.745000004768372
Apple M4 · Chrome,"время кадра, СКО, мс",0.1740994459846106,0.13081107994907815,0.15759899643456346,1.1839387372752022,0.8844213075632866
Apple M4 · Chrome,"FPS, нижний 1%",185.86246178758293,177.71821462449688,191.08189425024008,49.709650458274346,74.54979865671807
Apple M4 · Chrome,"время кадра, p99, мс",5.1400000128149985,5.140000015497208,4.75,18.44239999651906,7.776600010991077
Apple M4 · Chrome,"обновление сцены, мс",0.4699999988079071,0.7150000035762787,0.4349999725818634,0.8449999988079071,0.5850000083446503
Apple M4 · Chrome,"память JS, пик, МБ",107.6182,90.3402,105.2912,313.3863,195.1131
AMD Ryzen 5 · Chrome,"FPS, среднее",74.79353035962222,71.70926292407778,75.26945314693401,23.912151152769614,67.23881858930343
AMD Ryzen 5 · Chrome,"время кадра, медиана, мс",12.940000001341105,13.554999999701977,12.964999999850988,39.644999999552965,13.630000000819564
AMD Ryzen 5 · Chrome,"время кадра, СКО, мс",0.9752815961602008,1.004309984265381,0.9999849713651471,4.960133750617738,4.898893046108932
AMD Ryzen 5 · Chrome,"FPS, нижний 1%",52.47465712628619,50.31506816503639,51.70387779106065,13.906962421330839,21.684918139504095
AMD Ryzen 5 · Chrome,"время кадра, p99, мс",16.935100000519295,18.10479999952018,17.2750999999605,63.86099999994039,41.11199999999248
AMD Ryzen 5 · Chrome,"обновление сцены, мс",1.1349999997764826,1.4299999997019768,0.9850000003352761,1.8450000006705523,1.305000001564622
AMD Ryzen 5 · Chrome,"память JS, пик, МБ",83.3993,81.7678,78.8934,313.8034,203.6535
AMD Ryzen 5 · Firefox,"FPS, среднее",51.728850166318914,49.89497723895794,52.5854513584575,21.717334896626152,45.49623897757786
AMD Ryzen 5 · Firefox,"время кадра, медиана, мс",18.88000000000102,19.55999999999949,18.460000000000036,51.94000000000051,19.5600000000004
AMD Ryzen 5 · Firefox,"время кадра, СКО, мс",1.2455370741183907,1.130420593648795,1.4138287101307738,27.383021612532907,9.924724852544507
AMD Ryzen 5 · Firefox,"FPS, нижний 1%",37.827205326070775,39.04724716907369,35.42079909322697,9.09090909090904,12.316437707247761
AMD Ryzen 5 · Firefox,"время кадра, p99, мс",23.746799999999933,24.173600000000157,23.619199999999,106.48600000000019,68.46759999999927
AMD Ryzen 5 · Firefox,"обновление сцены, мс",1.2399999999979627,1.9799999999995634,1.319999999999709,1.7600000000020373,1.9400000000005093
AMD Ryzen 5 · Firefox,"память JS, пик, МБ",,,,,
